model,template,entity,precision,recall,f1,f1_r_micro,f1_r_macro
amalia,cls,participants,0.0,0.0,0.0,0.012962962962962964,0.010526315789473684
amalia,ext_def,participants,0.0,0.0,0.0,0.00558659217877095,0.005758513931888545
amalia,ext_def_exp,participants,0.0,0.0,0.0,0.0,0.0
amalia,ext_exp,participants,0.0,0.0,0.0,0.0,0.0
amalia,ext,participants,0.5,0.00375234521575985,0.0074487895716946,0.0111731843575419,0.008771929824561403
amalia,cls_def,participants,0.09090909090909091,0.0075046904315197,0.01386481802426343,0.05892547660311957,0.03372319688109162
amalia,cls_exp,participants,0.18493150684931506,0.05065666041275797,0.07952871870397643,0.16936671575846834,0.1228543108238857
amalia,cls_def_exp,participants,0.2391304347826087,0.10318949343339587,0.14416775884665795,0.2529488859764089,0.18581229386602433
euro_llm_9b,cls_def,participants,0.2,0.0075046904315197,0.014466546112115732,0.03978300180831826,0.034473684210526316
euro_llm_9b,cls,participants,0.3333333333333333,0.0075046904315197,0.014678899082568808,0.02568807339449541,0.034164358264081256
euro_llm_9b,ext,participants,0.23417721518987342,0.06941838649155722,0.10709117221418235,0.24602026049204048,0.22272497896932184
euro_llm_9b,ext_def,participants,0.31351351351351353,0.10881801125703565,0.1615598885793872,0.30919220055710306,0.30240129097095
euro_llm_9b,ext_exp,participants,0.21042084168336672,0.19699812382739212,0.20348837209302326,0.39534883720930236,0.39761089040595915
euro_llm_9b,cls_exp,participants,0.22602739726027396,0.18574108818011256,0.203913491246138,0.38825952626158594,0.34934549347601324
euro_llm_9b,ext_def_exp,participants,0.24153498871331827,0.20075046904315197,0.21926229508196723,0.42315573770491804,0.42507825700538343
euro_llm_9b,cls_def_exp,participants,0.3188405797101449,0.20637898686679174,0.2505694760820045,0.41913439635535304,0.3941070420717175
gemini,ext,participants,0.2672413793103448,0.058161350844277676,0.09553158705701079,0.22033898305084748,0.2267718595684889
gemini,ext_def,participants,0.3194444444444444,0.08630393996247655,0.1358936484490399,0.276218611521418,0.27170438662982116
gemini,cls,participants,0.29245283018867924,0.2326454033771107,0.25914315569487983,0.4890282131661442,0.4893877211882634
gemini,cls_def,participants,0.38328530259365995,0.24953095684803,0.30227272727272725,0.4897727272727273,0.48745587452917577
gemini,ext_exp,participants,0.5231053604436229,0.5309568480300187,0.527001862197393,0.6638733705772811,0.6638715161940472
gemini,ext_def_exp,participants,0.5948827292110874,0.5234521575984991,0.5568862275449101,0.6696606786427145,0.6683040641459472
gemini,cls_exp,participants,0.5637707948243993,0.5722326454033771,0.5679702048417132,0.6852886405959031,0.6852651768713082
gemini,cls_def_exp,participants,0.5645756457564576,0.574108818011257,0.5693023255813954,0.6874418604651164,0.6895705476106814
gemma3_12b,ext,participants,0.2537313432835821,0.06378986866791744,0.10194902548725639,0.2383808095952024,0.24366869538399336
gemma3_12b,ext_def,participants,0.2611464968152866,0.07692307692307693,0.11884057971014493,0.2768115942028985,0.2782178075275538
gemma3_12b,cls,participants,0.29571984435797666,0.1425891181988743,0.19240506329113924,0.37848101265822787,0.3855901038819982
gemma3_12b,cls_def,participants,0.32608695652173914,0.14071294559099437,0.1965923984272608,0.3735255570117956,0.38052370546630404
gemma3_12b,ext_exp,participants,0.35294117647058826,0.23639774859287055,0.28314606741573034,0.48314606741573035,0.48869502879446497
gemma3_12b,ext_def_exp,participants,0.3667621776504298,0.2401500938086304,0.2902494331065759,0.49773242630385495,0.5015973362468038
gemma3_12b,cls_def_exp,participants,0.39705882352941174,0.30393996247654786,0.3443145589798087,0.5356004250797024,0.5382656219716548
gemma3_12b,cls_exp,participants,0.39659367396593675,0.3058161350844278,0.3453389830508475,0.545550847457627,0.549303383138305
gemma3_1b,cls,participants,0.15217391304347827,0.013133208255159476,0.024179620034542316,0.062176165803108814,0.04091199659066695
gemma3_1b,cls_def,participants,0.18867924528301888,0.01876172607879925,0.034129692832764506,0.09726962457337884,0.0720526763984095
gemma3_1b,ext,participants,0.1968503937007874,0.04690431519699812,0.07575757575757575,0.19545454545454546,0.19771685387740787
gemma3_1b,ext_def,participants,0.2265625,0.054409005628517824,0.08774583963691378,0.21936459909228445,0.22295440868889105
gemma3_1b,cls_exp,participants,0.1955128205128205,0.11444652908067542,0.14437869822485208,0.2804733727810651,0.2525347242804286
gemma3_1b,cls_def_exp,participants,0.22916666666666666,0.14446529080675422,0.17721518987341772,0.3153049482163406,0.27905817967759766
gemma3_1b,ext_exp,participants,0.25153374233128833,0.15384615384615385,0.1909196740395809,0.3550640279394645,0.3578483309614331
gemma3_1b,ext_def_exp,participants,0.2068230277185501,0.18198874296435272,0.19361277445109776,0.36227544910179643,0.3682738278174876
gemma3_4b,ext,participants,0.1956521739130435,0.05065666041275797,0.08047690014903129,0.23248882265275705,0.24083031599457616
gemma3_4b,ext_def,participants,0.23255813953488372,0.075046904315197,0.11347517730496456,0.28510638297872337,0.2861906756768003
gemma3_4b,cls_def,participants,0.2798165137614679,0.11444652908067542,0.16245006657789612,0.3422103861517976,0.3512267488881285
gemma3_4b,cls,participants,0.29389312977099236,0.14446529080675422,0.19371069182389938,0.3748427672955975,0.3816223171764171
gemma3_4b,ext_def_exp,participants,0.29213483146067415,0.1951219512195122,0.233970753655793,0.43419572553430824,0.4345187156893891
gemma3_4b,ext_exp,participants,0.3,0.21388367729831145,0.24972617743702083,0.4501642935377875,0.4541127321235918
gemma3_4b,cls_exp,participants,0.3488372093023256,0.25328330206378985,0.29347826086956524,0.4782608695652174,0.4834848737196148
gemma3_4b,cls_def_exp,participants,0.3875739644970414,0.24577861163227016,0.30080367393800234,0.4741676234213547,0.47695715951439605
gervasio_8b_ptpt,ext,participants,0.3235294117647059,0.06191369606003752,0.10393700787401573,0.19999999999999998,0.1994643581612042
gervasio_8b_ptpt,ext_def,participants,0.2602739726027397,0.07129455909943715,0.11192930780559646,0.25773195876288657,0.26697850987319743
gervasio_8b_ptpt,cls,participants,0.2627118644067797,0.11632270168855535,0.16124837451235371,0.34460338101430427,0.34772621469806453
gervasio_8b_ptpt,cls_def,participants,0.3054187192118227,0.11632270168855535,0.16847826086956522,0.327445652173913,0.33023796032274694
gervasio_8b_ptpt,ext_exp,participants,0.29250457038391225,0.300187617260788,0.29629629629629634,0.47314814814814815,0.4641719285705815
gervasio_8b_ptpt,cls_exp,participants,0.2842465753424658,0.31144465290806755,0.297224709042077,0.4789615040286482,0.4808615252792215
