model,template,entity,precision,recall,f1,f1_r_micro,f1_r_macro
amalia,ext,participants,0.0,0.0,0.0,0.016791044776119403,0.013566026103040144
amalia,ext_def,participants,0.16666666666666666,0.0019120458891013384,0.0037807183364839316,0.00945179584120983,0.006925207756232687
amalia,ext_exp,participants,0.18867924528301888,0.019120458891013385,0.034722222222222224,0.07465277777777778,0.042880523731587565
amalia,cls_def,participants,0.18055555555555555,0.0248565965583174,0.04369747899159664,0.12941176470588234,0.09971619797471191
amalia,ext_def_exp,participants,0.07094594594594594,0.040152963671128104,0.05128205128205128,0.12942612942612944,0.09478976788528015
amalia,cls,participants,0.2441860465116279,0.040152963671128104,0.06896551724137931,0.14449917898193762,0.13010328812759336
amalia,cls_exp,participants,0.14864864864864866,0.0841300191204589,0.10744810744810745,0.2185592185592186,0.20337687793357553
amalia,cls_def_exp,participants,0.2255813953488372,0.18546845124282982,0.2035676810073452,0.3494228751311647,0.32847325500704505
euro_llm_9b,cls,participants,0.2638888888888889,0.036328871892925434,0.0638655462184874,0.12268907563025211,0.08855848526864508
euro_llm_9b,cls_def,participants,0.2564102564102564,0.03824091778202677,0.06655574043261231,0.1497504159733777,0.1172594942332004
euro_llm_9b,ext_def,participants,0.20437956204379562,0.05353728489483748,0.08484848484848485,0.22575757575757574,0.21962501493043743
euro_llm_9b,ext,participants,0.27167630057803466,0.08986615678776291,0.13505747126436782,0.2600574712643678,0.24173143337682368
euro_llm_9b,ext_exp,participants,0.17751479289940827,0.17208413001912046,0.17475728155339806,0.35631067961165047,0.3612387483150298
euro_llm_9b,ext_def_exp,participants,0.19068736141906872,0.16443594646271512,0.17659137577002057,0.3757700205338809,0.37943435317031726
euro_llm_9b,cls_exp,participants,0.1951219512195122,0.1835564053537285,0.1891625615763547,0.3615763546798029,0.3275499825485257
euro_llm_9b,cls_def_exp,participants,0.1950354609929078,0.21032504780114722,0.20239190432382703,0.3689052437902484,0.37775138818658427
gemini,ext_def,participants,0.21428571428571427,0.05736137667304015,0.09049773755656107,0.2458521870286576,0.2442329594439244
gemini,ext,participants,0.288135593220339,0.06500956022944551,0.10608424336973481,0.2355694227769111,0.23534526085380084
gemini,cls,participants,0.27901234567901234,0.21606118546845124,0.2435344827586207,0.4644396551724138,0.46691603675089793
gemini,cls_def,participants,0.3185840707964602,0.20650095602294455,0.2505800464037123,0.45359628770301624,0.45471740667461746
gemini,ext_exp,participants,0.4914383561643836,0.5487571701720841,0.5185185185185185,0.6476964769647697,0.6460281221244774
gemini,ext_def_exp,participants,0.5177570093457944,0.5296367112810707,0.5236294896030246,0.6521739130434782,0.6501180461517165
gemini,cls_exp,participants,0.5255731922398589,0.5697896749521989,0.546788990825688,0.6770642201834863,0.6717085356641328
gemini,cls_def_exp,participants,0.5678294573643411,0.5602294455066922,0.5640038498556305,0.6881616939364774,0.6893110343778999
gemma3_12b,ext,participants,0.21367521367521367,0.04780114722753346,0.078125,0.21250000000000002,0.21744646816601748
gemma3_12b,ext_def,participants,0.19852941176470587,0.05162523900573614,0.08194233687405159,0.2352048558421851,0.2404907727649284
gemma3_12b,cls_def,participants,0.2606837606837607,0.11663479923518165,0.16116248348745046,0.34346103038309117,0.3491206720760766
gemma3_12b,cls,participants,0.26229508196721313,0.12237093690248566,0.16688396349413298,0.3559322033898305,0.3606126144516429
gemma3_12b,ext_exp,participants,0.24661246612466126,0.1739961759082218,0.20403587443946192,0.4181614349775785,0.4211742599741395
gemma3_12b,ext_def_exp,participants,0.2772020725388601,0.2045889101338432,0.23542354235423543,0.44664466446644663,0.44815870354727777
gemma3_12b,cls_exp,participants,0.2743142144638404,0.21032504780114722,0.23809523809523808,0.44588744588744583,0.45057835244689326
gemma3_12b,cls_def_exp,participants,0.314070351758794,0.2390057361376673,0.27144408251900104,0.4744842562432139,0.48155107712612716
gemma3_4b,ext,participants,0.1984732824427481,0.0497131931166348,0.07951070336391437,0.21559633027522934,0.21851127164430553
gemma3_4b,ext_def,participants,0.20394736842105263,0.05927342256214149,0.09185185185185185,0.24740740740740738,0.25182541930744184
gemma3_4b,cls_def,participants,0.2300469483568075,0.09369024856596558,0.1331521739130435,0.3342391304347826,0.33799466088628727
gemma3_4b,cls,participants,0.26229508196721313,0.12237093690248566,0.16688396349413298,0.3585397653194263,0.36299458395230133
gemma3_4b,ext_exp,participants,0.19845360824742267,0.14722753346080306,0.1690450054884742,0.38968166849615804,0.39136077952164355
