model,template,entity,precision,recall,f1,f1_r
gemini,ext,participants,0.31007751937984496,0.073394495,0.11869436201780414,0.5817665406908274
gemini,ext_def,participants,0.296551724,0.078899083,0.1246376811594203,0.5983239263157738
gemini,cls,participants,0.2879177377892031,0.20550458715596331,0.2398286937901499,0.6537865008647618
gemini,cls_def,participants,0.40524781341107874,0.25504587155963304,0.31306306306306314,0.6808574228280813
gemini,ext_def_exp,participants,0.542,0.4972477064220184,0.5186602870813397,0.6600980618838744
gemini,cls_exp,participants,0.5066889632107023,0.5559633027522936,0.5301837270341206,0.624792558
gemini,ext_exp,participants,0.5148514851485149,0.5724770642201835,0.5421372719374458,0.5855382277874945
gemini,cls_def_exp,participants,0.5333333333333333,0.5577981651376147,0.5452914798206279,0.6371012787356214
gemma3_1b,cls_def,participants,0.16981132075471697,0.033027523,0.055299539170506916,0.3389433888810639
gemma3_1b,ext_def,participants,0.2,0.033027523,0.056692913,0.5085190129187623
gemma3_1b,ext,participants,0.2235294117647059,0.034862385,0.06031746,0.5228423575635356
gemma3_1b,cls,participants,0.19078947368421054,0.053211009,0.083213773,0.39310983728444504
gemma3_1b,cls_exp,participants,0.24013157894736842,0.13394495412844037,0.17196702002355713,0.43967964188778047
gemma3_1b,cls_def_exp,participants,0.2549019607843137,0.14311926605504588,0.18331374853113983,0.4711436419830445
gemma3_1b,ext_def_exp,participants,0.267741935,0.15229357798165138,0.19415204678362577,0.46868697424679107
gemma3_1b,ext_exp,participants,0.2948717948717949,0.1688073394495413,0.2147024504084014,0.4909511460253511
llama32_3b,cls_exp,participants,0,0,0,0
llama32_3b,ext_def,participants,0,0,0,0
llama32_3b,ext,participants,0.14285714285714285,0.003669725,0.007155635,0.040960517
llama32_3b,ext_exp,participants,0.1590909090909091,0.012844036697247707,0.023769100169779286,0.058003526479462296
llama32_3b,cls_def_exp,participants,0.16831683168316833,0.031192660550458717,0.052631578947368425,0.089685168
llama32_3b,cls,participants,0.13114754098360656,0.058715596,0.081115336,0.19776637994430177
llama32_3b,ext_def_exp,participants,0.21374045801526717,0.051376147,0.082840237,0.15779494809656763
llama32_3b,cls_def,participants,0.26548672566371684,0.055045872,0.09118541,0.17566093304031902
qwen25_14b,ext,participants,0.2261904761904762,0.034862385,0.060413354531001585,0.5903183588427396
qwen25_14b,ext_def,participants,0.1796875,0.042201835,0.068350669,0.6382455599137377
qwen25_14b,cls,participants,0.24043715846994534,0.080733945,0.1208791208791209,0.5708985754829581
qwen25_14b,cls_def,participants,0.26851851851851855,0.10642201834862386,0.15243101182654403,0.652061683
qwen25_14b,ext_def_exp,participants,0.29337539432176657,0.1706422018348624,0.21577726218097448,0.6217577053332131
qwen25_14b,ext_exp,participants,0.273224044,0.1834862385321101,0.21953896816684965,0.5891284807975347
qwen25_14b,cls_def_exp,participants,0.29874213836477986,0.1743119266055046,0.220162225,0.6215261610445452
qwen25_14b,cls_exp,participants,0.27225130890052357,0.1908256880733945,0.22437971952535063,0.574616938
qwen3_30b,cls,participants,0,0,0,0
qwen3_4b,ext_def,participants,0.216,0.049541284,0.080597015,0.6939053039674781
qwen3_4b,ext,participants,0.32222222222222224,0.053211009,0.091338583,0.6676495156542149
qwen3_4b,cls_def,participants,0.23430962343096234,0.10275229357798166,0.14285714285714288,0.6096192175886961
qwen3_4b,cls,participants,0.24175824175824176,0.12110091743119267,0.16136919315403422,0.6221532101746636
qwen3_4b,ext_exp,participants,0.25,0.23119266055045873,0.24022878932316494,0.5455477503734778
qwen3_4b,cls_def_exp,participants,0.2765957446808511,0.21467889908256882,0.24173553719008264,0.5764140543549453
qwen3_4b,ext_def_exp,participants,0.27674418604651163,0.21834862385321102,0.24410256410256412,0.585708688
qwen3_4b,cls_exp,participants,0.28361344537815125,0.24770642201834864,0.26444662095984334,0.5726932285958612
